video_id, title,url, is_japanese_caption, has_checked_caption
0EEPdJI7Ubs,Expresso Coffee Baby Back Kahlua Ribs | Recipe | BBQ Pit Boys,https://www.youtube.com/watch?v=0EEPdJI7Ubs,false,true,
fbiUxbu00Cg,Kahlua Coffee Grounds Baby Back Ribs,https://www.youtube.com/watch?v=fbiUxbu00Cg,false,true,
3VvrrovjIeU,How to Grill Pork Ribs Memphis Style | Recipe,https://www.youtube.com/watch?v=3VvrrovjIeU,false,true,
mxiHSyhHtHA,How to smoke Two Rack Baby Back Ribs | Recipe | BBQ Pit Boys,https://www.youtube.com/watch?v=mxiHSyhHtHA,false,true,
5Y4hgtf3R3A,How to Smoke Fried Spare Ribs | Recipe | BBQ Pit Boys,https://www.youtube.com/watch?v=5Y4hgtf3R3A,false,true,
frdIMhrUxjU,How to grill St. Louis Beer Can Ribs | Recipe | BBQ Pit Boys,https://www.youtube.com/watch?v=frdIMhrUxjU,false,true,
g_b70miQNZE,How to smoke Pineapple Salsa Spare Ribs | Recipe | BBQ Pit Boys,https://www.youtube.com/watch?v=g_b70miQNZE,false,true,
Nb-vq66yaLU,How to grill Backstrap Rib Chops | Recipe | BBQ Pit Boys,https://www.youtube.com/watch?v=Nb-vq66yaLU,false,true,
gAbmDt7Kcss,How to grill Jim Beam Country Style Ribs | Recipe | BBQ Pit Boys,https://www.youtube.com/watch?v=gAbmDt7Kcss,false,true,
mPubaH4tAgQ,How to grill St Louis Standing Spare Rib Roast | Recipe | BBQ Pit Boys,https://www.youtube.com/watch?v=mPubaH4tAgQ,true,true,
wAGssmWA7bQ,How to Grill a Prime Rib Dinner - Part III | Recipe | BBQ Pit Boys,https://www.youtube.com/watch?v=wAGssmWA7bQ,false,true,
446w4Qn3RAU,How to Grill a Prime Rib Dinner (The Sides) - Part II | Recipe | BBQ Pit Boys,https://www.youtube.com/watch?v=446w4Qn3RAU,false,true,
Iy5qYnPxZV0,BBQ Steaks Ribs Clams Oysters Kielbasa Wild Turkey Chicken at the Pit,https://www.youtube.com/watch?v=Iy5qYnPxZV0,false,true,
72Lzo4qXmh8,SMOKED FRIED RIBS | Recipe,https://www.youtube.com/watch?v=72Lzo4qXmh8,false,true,
Ksce4rk23cc,EASY BBQ RIBS  | Recipe | BBQ Pit Boys,https://www.youtube.com/watch?v=Ksce4rk23cc,true,true,
YOs2nfFmWOM,Steaks Roasts Chicken Shellfish & Ribs | BBQ Pit Boys Show Preview,https://www.youtube.com/watch?v=YOs2nfFmWOM,false,true,
LFGoSFbKwkE,How to grill Baby Back Ribs Crown Roast | Recipe,https://www.youtube.com/watch?v=LFGoSFbKwkE,false,true,
UA8gx-FB-sM,How to grill Cheese & Beer Ribs | Recipe,https://www.youtube.com/watch?v=UA8gx-FB-sM,false,true,
74fZkyWItEw,How to BBQ Easy Smoked Baby Back Ribs | Recipe,https://www.youtube.com/watch?v=74fZkyWItEw,false,true,
2ZirOhkZlRQ,How to BBQ Pork Ribs & Steaks | Recipe advice,https://www.youtube.com/watch?v=2ZirOhkZlRQ,false,true,
0pxo72Xlnis,How to BBQ Brown Sugar Pork Spare Ribs | Recipe,https://www.youtube.com/watch?v=0pxo72Xlnis,false,true,
ytao8A7nPjc,How to make Dry Rub for Pork Ribs | Recipe Seasoning,https://www.youtube.com/watch?v=ytao8A7nPjc,false,true,
8nkL2YoAeYw,How to grill One Hour Spare Ribs | Recipe,https://www.youtube.com/watch?v=8nkL2YoAeYw,false,true,
gsoygSah2xE,How to Cook Country Ribs | Recipe,https://www.youtube.com/watch?v=gsoygSah2xE,false,true,
ZGBd3V4wWAo,How to BBQ Fried Ribs | Recipe,https://www.youtube.com/watch?v=ZGBd3V4wWAo,false,true,
gdmWjQ7BBDo,How to Smoke Mud Rub Spare Ribs | Recipe,https://www.youtube.com/watch?v=gdmWjQ7BBDo,false,true,
XEOS2S4_oyg,How to grill Tender Beef Short Ribs | Recipe,https://www.youtube.com/watch?v=XEOS2S4_oyg,false,true,
d46Jcvtl_aw,How to Smoke Guru Ribs | Recipe,https://www.youtube.com/watch?v=d46Jcvtl_aw,false,true,
JR5MZxXBxSo,How to BBQ Spiced Rum Spareribs | Recipe,https://www.youtube.com/watch?v=JR5MZxXBxSo,false,true,
iEnHwu5hDJU,How to BBQ Peanut Butter & Jelly Spare Ribs | Recipe,https://www.youtube.com/watch?v=iEnHwu5hDJU,false,true,
Mm1LdNZVmsU,How to Smoke Chipotle Honey Spare Ribs | Recipe,https://www.youtube.com/watch?v=Mm1LdNZVmsU,false,true,
FB-3USJHQ1I,How to BBQ Bacon Crusted Spare Ribs | Recipe,https://www.youtube.com/watch?v=FB-3USJHQ1I,false,true,
3XjIhavbHC4,How to BBQ Ribs & Wings | Recipe,https://www.youtube.com/watch?v=3XjIhavbHC4,false,true,
sNWjTU6KYso,How to BBQ Beef Ribs smoked on the Grill | Recipe,https://www.youtube.com/watch?v=sNWjTU6KYso,false,true,
sYxeePGk5Ww,How to BBQ Honey Mustard Spare Ribs | Recipe,https://www.youtube.com/watch?v=sYxeePGk5Ww,false,true,
_rK9zcAPHAE,How to BBQ Spare Ribs & Beans | Recipe,https://www.youtube.com/watch?v=_rK9zcAPHAE,false,true,
CgyaXkH3_pU,How to Grill Baby Back Ribs | Recipe,https://www.youtube.com/watch?v=CgyaXkH3_pU,false,true,
w0ZmxwK9tHw,How to grill Margarita Spare Ribs | Recipe,https://www.youtube.com/watch?v=w0ZmxwK9tHw,false,true,
dK7G7EebS88,How to grill Boneless Beef Ribs | Recipe,https://www.youtube.com/watch?v=dK7G7EebS88,false,true,
6zSPQ53_K2M,How to grill Spare Ribs Beer Soup | Recipe,https://www.youtube.com/watch?v=6zSPQ53_K2M,false,true,
