video_id, title,url, is_japanese_caption, has_checked_caption
EbBHk_zLTmY,Rome: The Punic Wars - The First Punic War - Extra History - #1,https://www.youtube.com/watch?v=EbBHk_zLTmY,false,true,
lf0-Yki5p40,Rome: The Punic Wars - The Second Punic War Begins - Extra History - #2,https://www.youtube.com/watch?v=lf0-Yki5p40,false,true,
wT_rev5VAQc,Rome: The Punic Wars - The Second Punic War Rages On - Extra History - #3,https://www.youtube.com/watch?v=wT_rev5VAQc,false,true,
McT1H-NVCMQ,Rome: The Punic Wars - The Conclusion of the Second Punic War - Extra History - #4,https://www.youtube.com/watch?v=McT1H-NVCMQ,false,true,
S-wSL4WqUws,World War I: The Seminal Tragedy - The Concert of Europe - Extra History - #1,https://www.youtube.com/watch?v=S-wSL4WqUws,false,true,
kyCmh9G1fpo,World War I: The Seminal Tragedy - One Fateful Day in June - Extra History - #2,https://www.youtube.com/watch?v=kyCmh9G1fpo,false,true,
zroZqvr4whk,World War I: The Seminal Tragedy - The July Crisis - Extra History - #3,https://www.youtube.com/watch?v=zroZqvr4whk,false,true,
WukYrrTH3ms,World War I: The Seminal Tragedy - The Final Act - Extra History - #4,https://www.youtube.com/watch?v=WukYrrTH3ms,false,true,
aiKGPAMIWKs,World War I: The Seminal Tragedy - Lies - Extra History,https://www.youtube.com/watch?v=aiKGPAMIWKs,false,true,
hDsdkoln59A,Warring States Japan: Sengoku Jidai - Battle of Okehazama - Extra History - #1,https://www.youtube.com/watch?v=hDsdkoln59A,true,true,
I2yT2nitGDk,Warring States Japan: Sengoku Jidai - The Siege of Inabayama Castle - Extra History - #2,https://www.youtube.com/watch?v=I2yT2nitGDk,true,true,
G3frtoMaxZE,Warring States Japan: Sengoku Jidai - Warrior Monks of Hongan-ji and Hiei - Extra History - #3,https://www.youtube.com/watch?v=G3frtoMaxZE,true,true,
ht6h4-MsMOY,Warring States Japan: Sengoku Jidai - The Death of Oda Nobunaga - Extra History - #4,https://www.youtube.com/watch?v=ht6h4-MsMOY,true,true,
lBD8OAegEw0,Warring States Japan: Sengoku Jidai - How Toyotomi Unified Japan - Extra History - #5,https://www.youtube.com/watch?v=lBD8OAegEw0,false,true,
5vscOHPFUf0,Warring States Japan: Sengoku Jidai - The Campaign of Sekigahara - Extra History - #6,https://www.youtube.com/watch?v=5vscOHPFUf0,false,true,
0lNYvGEmRO4,Warring States Japan: Sengoku Jidai - Lies - Extra History,https://www.youtube.com/watch?v=0lNYvGEmRO4,false,true,
k1kndKWJKB8,England: South Sea Bubble - The Sharp Mind of John Blunt - Extra History - #1,https://www.youtube.com/watch?v=k1kndKWJKB8,false,true,
Fsk6oZm1EEA,England: South Sea Bubble - Too Big to Fail - Extra History - #2,https://www.youtube.com/watch?v=Fsk6oZm1EEA,false,true,
