video_id, title,url, is_japanese_caption, has_checked_caption
Xm-L9cIRdmY,Points Actions and Marginal Votes - The Game of Elections - Extra Politics - #1,https://www.youtube.com/watch?v=Xm-L9cIRdmY,false,false,
1wZphSHtnAg,Polls vs Win Charts - Positional Heuristics - Extra Politics - #2,https://www.youtube.com/watch?v=1wZphSHtnAg,false,false,
uz0N-jlkXZM,Catch-up Mechanics - The Role of the Press Third Parties and Money - Extra Politics - #3,https://www.youtube.com/watch?v=uz0N-jlkXZM,false,false,
gK1dZ67MLjY,The Rules of Society - Rules Part 1 - Extra Politics - #4,https://www.youtube.com/watch?v=gK1dZ67MLjY,false,false,
PqXIdVEo-9U,Cheating - Rules Part 2 - Extra Politics - #5,https://www.youtube.com/watch?v=PqXIdVEo-9U,false,false,
qEUfC7hk5tM,Who Writes the Rules? - Rules Part 3 - Extra Politics - #6,https://www.youtube.com/watch?v=qEUfC7hk5tM,false,false,
ryMICt4eppA,Is the Game Broken? - Designer's Intent and the Triple Power Rule - Extra Politics - #7,https://www.youtube.com/watch?v=ryMICt4eppA,false,false,
sUVAgejhLaE,Fixing the Game - How to Patch Gerrymandering - Extra Politics - #8,https://www.youtube.com/watch?v=sUVAgejhLaE,false,false,
fLq86hnwqF0,Fixing Broken Politics - Social Media - Extra Politics,https://www.youtube.com/watch?v=fLq86hnwqF0,false,false,
sRamATEgTdY,Fixing Broken Politics - Never Going To Jail - Extra Politics,https://www.youtube.com/watch?v=sRamATEgTdY,false,false,
_86KIfWzWug,Fixing Broken Politics - No Right to Vote - Extra Politics,https://www.youtube.com/watch?v=_86KIfWzWug,false,false,
8TRyN0mpczQ,Fixing Broken Politics - You Think It's Bad Now... - Extra Politics,https://www.youtube.com/watch?v=8TRyN0mpczQ,false,false,
