video_id, title,url, is_japanese_caption, has_checked_caption
vBTr7BgVFY4,Extra Remix - CarboHydroM - Rock and Chiptune Video Game Music,https://www.youtube.com/watch?v=vBTr7BgVFY4,false,false,
iYZjJXILtvc,Extra Remix - Big Giant Circles - Modern Electronic Video Game Music,https://www.youtube.com/watch?v=iYZjJXILtvc,false,false,
9crF4OKSO-w,Extra Remix - Bladiator - Classical Piano Waltzes for Video Game Music,https://www.youtube.com/watch?v=9crF4OKSO-w,false,false,
cUKoU82iSMM,Extra Remix - djpretzel - Groovy Video Game Music with a Twist,https://www.youtube.com/watch?v=cUKoU82iSMM,false,false,
E8KPmQ4bBUI,Extra Remix - OverClocked ReMix - Free Video Game Music,https://www.youtube.com/watch?v=E8KPmQ4bBUI,false,false,
O14z4lF2Ueo,Extra Remix - Sixto Sounds - Hard Rock and Metal Video Game Music,https://www.youtube.com/watch?v=O14z4lF2Ueo,false,false,
tJVyInWdfmw,Extra Remix - zircon - Organic Electronic Video Game Music,https://www.youtube.com/watch?v=tJVyInWdfmw,false,false,
fPevj0vT7-I,Extra Remix - Jillian Aversa - Ethereal New Age Vocals for Video Game Music,https://www.youtube.com/watch?v=fPevj0vT7-I,false,false,
0O-UDakr5wQ,Extra Remix - Benjamin Briggs - Electronic Dance Chiptune Video Game Music,https://www.youtube.com/watch?v=0O-UDakr5wQ,false,false,
z0vLrixG88M,Extra Remix - Metroid Metal - Video Game Music Metal Band,https://www.youtube.com/watch?v=z0vLrixG88M,false,false,
gaVCYKBDPok,Extra Remix - Super Guitar Bros - Classical and Acoustic Guitar Video Game Music,https://www.youtube.com/watch?v=gaVCYKBDPok,false,false,
NVr_bH38Tkw,Extra Remix - Mega Ran aka Random - Nerdcore Hip Hop Video Game Music,https://www.youtube.com/watch?v=NVr_bH38Tkw,false,false,
yW5ZKOyQ5G0,Extra Remix - SGX - Electronic Dance Music and Video Games,https://www.youtube.com/watch?v=yW5ZKOyQ5G0,false,false,
