video_id, title,url, is_japanese_caption, has_checked_caption
DnSmGFmP8qU,Frankenstein: The Modern Prometheus - Extra Sci Fi - #1,https://www.youtube.com/watch?v=DnSmGFmP8qU,false,false,
jd9Baab9Xsc,Frankenstein: The New Romantics - Extra Sci Fi - #2,https://www.youtube.com/watch?v=jd9Baab9Xsc,false,false,
55QjR-9RVSE,Frankenstein: The Sorrows of Young Werther - Extra Sci Fi - #3,https://www.youtube.com/watch?v=55QjR-9RVSE,false,false,
ePzdchSJI8I,Frankenstein: Plutarch's Lives - Extra Sci Fi - #4,https://www.youtube.com/watch?v=ePzdchSJI8I,false,false,
a6sLFt6Fro4,Frankenstein: Paradise Lost - Extra Sci Fi - #5,https://www.youtube.com/watch?v=a6sLFt6Fro4,false,false,
tIpxJ-SAdkA,Frankenstein: Radical Alienation - Extra Sci Fi - #6,https://www.youtube.com/watch?v=tIpxJ-SAdkA,false,false,
VhoxtWLMqD4,William Gibson: The 80s Revolution - Extra Sci Fi - #7,https://www.youtube.com/watch?v=VhoxtWLMqD4,false,false,
dWjhxhMI-Qo,William Gibson: The Gernsback Continuum - Semiotic Ghosts - Extra Sci Fi - #8,https://www.youtube.com/watch?v=dWjhxhMI-Qo,false,false,
oOFB_SJEa-Q,William Gibson: The Belonging Kind - Extra Sci Fi - #9,https://www.youtube.com/watch?v=oOFB_SJEa-Q,false,false,
ldFvoglm6C8,The Canals of Mars - Eye of the Beholder - Extra Sci Fi - #10,https://www.youtube.com/watch?v=ldFvoglm6C8,false,false,
z3tnh0mOGJI,The Martian Chronicles - A Dying Race - Extra Sci Fi - #11,https://www.youtube.com/watch?v=z3tnh0mOGJI,false,false,
Dr6G7ePVYjg,The Martian Chronicles - Too Human - Extra Sci Fi - #12,https://www.youtube.com/watch?v=Dr6G7ePVYjg,false,false,
AJulzRGlifA,The Martian Chronicles - The New Martians - Extra Sci Fi - #13,https://www.youtube.com/watch?v=AJulzRGlifA,false,false,
O-_-0O7c-PE,The History of Sci Fi - Jules Verne - Extra Sci Fi - #1,https://www.youtube.com/watch?v=O-_-0O7c-PE,false,false,
4S0JVHvL1os,The History of Sci Fi - H.G. Wells - Extra Sci Fi - #2,https://www.youtube.com/watch?v=4S0JVHvL1os,false,false,
v9aIP-Z8Pko,The History of Science Fiction - Pseudo-Science - Extra Sci Fi - #3,https://www.youtube.com/watch?v=v9aIP-Z8Pko,false,false,
