video_id, title,url, is_japanese_caption, has_checked_caption
PMXf0e8n2Oc,How to Become a Game Designer,https://www.youtube.com/watch?v=PMXf0e8n2Oc,false,true,
rlmVxrq-3Go,How to Turn Movement into a Game Mechanic,https://www.youtube.com/watch?v=rlmVxrq-3Go,false,true,
Lm_AzK27mZY,How the Nemesis System Creates Stories,https://www.youtube.com/watch?v=Lm_AzK27mZY,false,true,
oYUZp4I3ksE,How Watch Dogs: Legion Works | GMTK Most Innovative 2020,https://www.youtube.com/watch?v=oYUZp4I3ksE,false,true,
RWQcuBigOj0,How Accessible Were 2020's Biggest Games?,https://www.youtube.com/watch?v=RWQcuBigOj0,true,true,
pwHqY_4nsJ4,How Zelda's Puzzle Box Dungeons Work,https://www.youtube.com/watch?v=pwHqY_4nsJ4,false,true,
XSvclSkmdyY,Who Gets to be Awesome in Games?,https://www.youtube.com/watch?v=XSvclSkmdyY,false,true,
c2CLO8CcBjg,Are Lives Outdated Game Design?,https://www.youtube.com/watch?v=c2CLO8CcBjg,true,true,
1ypOUn6rThM,The Psychological Trick That Can Make Rewards Backfire,https://www.youtube.com/watch?v=1ypOUn6rThM,true,true,
kMDe7_YwVKI,The Games That Designed Themselves,https://www.youtube.com/watch?v=kMDe7_YwVKI,true,true,
KW4JlxAEAE0,How a Last of Us Part II Level is Made,https://www.youtube.com/watch?v=KW4JlxAEAE0,false,true,
bm0S4cn_rfw,Commanding Shepard,https://www.youtube.com/watch?v=bm0S4cn_rfw,false,true,
uF6c8KJuuEk,How do Stealth Games Deal with Detection? | School of Stealth Part 3,https://www.youtube.com/watch?v=uF6c8KJuuEk,true,true,
P05ONfLOqmY,Should Game Designers Listen to Negative Feedback?,https://www.youtube.com/watch?v=P05ONfLOqmY,true,true,
QLWC081dDpc,The Five Types of Stealth Game Gadget | School of Stealth Part 2,https://www.youtube.com/watch?v=QLWC081dDpc,true,true,
I9ZsFT_eqXY,The 4 Ps of DOOM's Amazing Combat,https://www.youtube.com/watch?v=I9ZsFT_eqXY,false,true,
Ay-5g36oFfc,How Stealth Game Guards See and Hear | School of Stealth Part 1,https://www.youtube.com/watch?v=Ay-5g36oFfc,true,true,
aJ9x3AtGADM,The Genius of Prey's Gloo Cannon,https://www.youtube.com/watch?v=aJ9x3AtGADM,true,true,
RwlnCn2EB9o,How Level Design Can Tell a Story,https://www.youtube.com/watch?v=RwlnCn2EB9o,false,true,
8fjCKMIE1Pg,Shovel Knight's Signature Moves,https://www.youtube.com/watch?v=8fjCKMIE1Pg,false,true,
dwI5b-wRLic,The Two Types of Random in Game Design,https://www.youtube.com/watch?v=dwI5b-wRLic,true,true,
7zLwa4bztWs,How Baba Is You Works | GMTK Most Innovative 2019,https://www.youtube.com/watch?v=7zLwa4bztWs,true,true,
vi98rAn4uXE,How Accessible Were 2019’s Biggest Games?,https://www.youtube.com/watch?v=vi98rAn4uXE,true,true,
CI-4cumMC-Y,Clockwork Games and Time Loops,https://www.youtube.com/watch?v=CI-4cumMC-Y,false,true,
yorTG9at90g,Why Does Celeste Feel So Good to Play?,https://www.youtube.com/watch?v=yorTG9at90g,true,true,
l9TzqNQBmr0,Can We Make Talking as Much Fun as Shooting?,https://www.youtube.com/watch?v=l9TzqNQBmr0,true,true,
Vwj3On5o58U,How to Make Your First Super Mario Maker 2 Level,https://www.youtube.com/watch?v=Vwj3On5o58U,true,true,
8geGHbWIMXA,Why Metro Exodus is so Immersive,https://www.youtube.com/watch?v=8geGHbWIMXA,true,true,
4CSYA9R70R8,How to Make an Indie Game Trailer,https://www.youtube.com/watch?v=4CSYA9R70R8,true,true,
bHdi5Ar8GXw,The Challenge of Cameras,https://www.youtube.com/watch?v=bHdi5Ar8GXw,true,true,
3jJT7mxSy1c,The Tragedy of Halo 3: ODST,https://www.youtube.com/watch?v=3jJT7mxSy1c,false,true,
WXQzdXPTb2A,How Games Get Balanced,https://www.youtube.com/watch?v=WXQzdXPTb2A,false,true,
terD4Bk3L_8,Why Synergies are the Secret to Slay the Spire’s Fun,https://www.youtube.com/watch?v=terD4Bk3L_8,true,true,
56iiP2xQn74,The Making of Hitman 2's Best Level,https://www.youtube.com/watch?v=56iiP2xQn74,false,true,
G9FB5R4wVno,Roguelikes Persistency and Progression,https://www.youtube.com/watch?v=G9FB5R4wVno,true,true,
Iz-XTR3pwrE,The Year Stealth Games Got Serious,https://www.youtube.com/watch?v=Iz-XTR3pwrE,true,true,
V0qxLrFycrc,How Return of the Obra Dinn Works | GMTK Most Innovative 2018,https://www.youtube.com/watch?v=V0qxLrFycrc,true,true,
wsmEuHa1eL8,Building Better Skill Trees,https://www.youtube.com/watch?v=wsmEuHa1eL8,true,true,
nYxHMZX6lN8,How Mega Man 11's Levels Do More With Less,https://www.youtube.com/watch?v=nYxHMZX6lN8,false,true,
DKSpE2PGJjI,Does Spidey's Web-Swinging 'Make You Feel Like Spider-Man'?,https://www.youtube.com/watch?v=DKSpE2PGJjI,true,true,
C3M8BvWcJQY,How Overcooked’s Kitchens Force You to Communicate,https://www.youtube.com/watch?v=C3M8BvWcJQY,true,true,
Go0BQugwGgM,Playing Past Your Mistakes,https://www.youtube.com/watch?v=Go0BQugwGgM,false,true,
vwbz9gxoQFg,Forging God of War's Leviathan Axe,https://www.youtube.com/watch?v=vwbz9gxoQFg,false,true,
K6y9PJipfpk,Are Score Systems Still Relevant?,https://www.youtube.com/watch?v=K6y9PJipfpk,false,true,
8X4fx-YncqA,What Makes a Good Combat System?,https://www.youtube.com/watch?v=8X4fx-YncqA,true,true,
hbzGO_Qonu0,How to Keep Players Engaged (Without Being Evil),https://www.youtube.com/watch?v=hbzGO_Qonu0,true,true,
zsjC6fa_YBg,What Makes a Good Puzzle?,https://www.youtube.com/watch?v=zsjC6fa_YBg,true,true,
NInNVEHj_G4,What Makes Celeste's Assist Mode Special,https://www.youtube.com/watch?v=NInNVEHj_G4,true,true,
SnpAAX9CkIc,The Rise of the Systemic Game,https://www.youtube.com/watch?v=SnpAAX9CkIc,true,true,
Ea6XJRqHUU4,Breaking Down the Best World in Rayman Legends,https://www.youtube.com/watch?v=Ea6XJRqHUU4,false,true,
H4kbJObhcHw,How Games Use Feedback Loops,https://www.youtube.com/watch?v=H4kbJObhcHw,false,true,
4NNPr2Ay4OM,How Snake Pass Works | GMTK Most Innovative 2017,https://www.youtube.com/watch?v=4NNPr2Ay4OM,true,true,
lamAqI8v7Y0,5 Amazing Levels from 2017,https://www.youtube.com/watch?v=lamAqI8v7Y0,false,true,
z_KVEjhT4wQ,The Design Behind Super Mario Odyssey,https://www.youtube.com/watch?v=z_KVEjhT4wQ,true,true,
F8T6Ul4aHTI,How Cuphead's Bosses (Try to) Kill You,https://www.youtube.com/watch?v=F8T6Ul4aHTI,false,true,
7L8vAGGitr8,How Game Designers Protect Players From Themselves,https://www.youtube.com/watch?v=7L8vAGGitr8,true,true,
8WkEoYvlUF0,How AM2R and Samus Returns remade Metroid 2,https://www.youtube.com/watch?v=8WkEoYvlUF0,false,true,
gwV_mA2cv_0,What Makes a Good Detective Game?,https://www.youtube.com/watch?v=gwV_mA2cv_0,true,true,
VQ_KrRq4UiA,Deconstructing Ori and the Blind Forest's Best Bit,https://www.youtube.com/watch?v=VQ_KrRq4UiA,true,true,
Lx7BWayWu08,Do We Need a Soulslike Genre?,https://www.youtube.com/watch?v=Lx7BWayWu08,true,true,
JqHcE6B4OP4,Donkey Kong Country: Tropical Freeze - Mario's Level Design Evolved,https://www.youtube.com/watch?v=JqHcE6B4OP4,true,true,
9bbhJi0NBkk,What Makes Good AI?,https://www.youtube.com/watch?v=9bbhJi0NBkk,true,true,
edcBLDNR2Ig,The Design of Dead Space - Part 3,https://www.youtube.com/watch?v=edcBLDNR2Ig,true,true,
A1x6Jy2CYNo,The Design of Dead Space - Part 2,https://www.youtube.com/watch?v=A1x6Jy2CYNo,true,true,
m5A0qttazXo,The Design of Dead Space - Part 1,https://www.youtube.com/watch?v=m5A0qttazXo,true,true,
5I4vD2S01d0,What Made Psychonauts Special,https://www.youtube.com/watch?v=5I4vD2S01d0,true,true,
vmIgjAM0uh0,Legend of Zelda: Breath of the Wild - An Open World Adventure,https://www.youtube.com/watch?v=vmIgjAM0uh0,true,true,
7daTGyVZ60I,The Secret of Mario's Jump (and other Versatile Verbs),https://www.youtube.com/watch?v=7daTGyVZ60I,true,true,
KHbQ6ti5BQ0,The Magic of the First Legend of Zelda,https://www.youtube.com/watch?v=KHbQ6ti5BQ0,true,true,
-Bx5t0baXhc,Finding the Fun in FPS Campaigns,https://www.youtube.com/watch?v=-Bx5t0baXhc,true,true,
Qot5_rMB8Jc,The Last Guardian and the Language of Games,https://www.youtube.com/watch?v=Qot5_rMB8Jc,true,true,
bCJw4hQkPj4,How Event[0] Works | GMTK Most Innovative 2016,https://www.youtube.com/watch?v=bCJw4hQkPj4,true,true,
kzfKnI8x5SE,5 Game Design Innovations from 2016,https://www.youtube.com/watch?v=kzfKnI8x5SE,true,true,
2u6HTG8LuXQ,Nintendo - Putting Play First,https://www.youtube.com/watch?v=2u6HTG8LuXQ,true,true,
AffpO05p4V8,Why We Remember Bioshock's Fort Frolic,https://www.youtube.com/watch?v=AffpO05p4V8,true,true,
USVr936aKzs,Deus Ex: Mankind Divided's Amazing Open World,https://www.youtube.com/watch?v=USVr936aKzs,true,true,
rHhX5GtWNr8,Shovel Knight and Nailing Nostalgia,https://www.youtube.com/watch?v=rHhX5GtWNr8,true,true,
kbyTOAlhRHk,The Comeback of the Immersive Sim,https://www.youtube.com/watch?v=kbyTOAlhRHk,true,true,
4AEKbBF3URE,How Games Do Health,https://www.youtube.com/watch?v=4AEKbBF3URE,true,true,
i5C1Uj7jJCg,Downwell's Dual Purpose Design,https://www.youtube.com/watch?v=i5C1Uj7jJCg,true,true,
gg0Nbfzo_00,What Mirror's Edge Catalyst Should Have Learned From Burnout Paradise,https://www.youtube.com/watch?v=gg0Nbfzo_00,true,true,
5N4U46QOyeA,Hitman and the Art of Repetition,https://www.youtube.com/watch?v=5N4U46QOyeA,true,true,
m544qfVMIPs,A Deep Dive into Star Fox Zero's Controls,https://www.youtube.com/watch?v=m544qfVMIPs,true,true,
VJGKDyrR8qc,Controllers Control Everything,https://www.youtube.com/watch?v=VJGKDyrR8qc,true,true,
K5tPJDZv_VE,Should Dark Souls Have an Easy Mode?,https://www.youtube.com/watch?v=K5tPJDZv_VE,true,true,
